dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
aafc,,AI (Artificial Intelligence) Chatbot for Software acquisition process,To improve the software approval and acquisition process by the creation of a service catalogue with software status information that will leverage artificial intelligence to enable user self-service and the ability to direct the request to the appropriate delivery team.,1035400,2022-09-30,8530-441-13-505,"April 25, 2022",5
aafc,,BioMOB (Biological Collections and Data Mobilization) - Work Package 3 Data Integration and Information Sharing,"To support the capture of label data and generate images and/or DNA sequences of the AAFC Biological Collections.  The science initiative will complement initiatives in other countries which aim to digitize a portion of their holdings over multiple years.  Overall, more than 7.6 million data records will be digitized. Canada will provide global leadership by also including DNA sequence data to its initiative.    This project is to meet the IM/IT enabling needs of AAFC's BioMOB (Biological Collections and Data Mobilization) science initiative.",4571000,2023-03-31,8530-441-13-505,"April 25, 2022",7
aafc,,Boardroom Modernization,"The boardroom modernization project will upgrade the technology and ensure AAFC boardrooms are safe, comply with GC accessibility standards, and have the functionality required of AAFC employees. AAFC boardrooms are a resource used by all branches of AAFC.",2408600,2024-03-31,8530-441-13-505,"April 25, 2022",15
aafc,dcalcrbc,Canadian Agricultural Library Corporate and Rare Book Collection Digitization,"Digitization of the Canadian Agricultural Library's (CAL) Corporate and Rare Book Collection - To digitize 27,000 departmental publications and rare books over the course of three years.",1830000,2019-03-31,8555-421-266,"June 9, 2016",4
aafc,,Content Management System (CMS) Solution,"Implementation of a web content management solution that uses standard content templates and workflows to create, manage, and publish web content to public-facing AAFC websites.",1040600,2022-07-26,8530-441-13-505,"April 25, 2022",2
aafc,dina-geo,Data Integration and Information Sharing,DINA-AAFC System for Data Integration and Information Sharing for BioMob WP-3 - Consolidate collection management tools and develop a portal to make quality new and legacy georeferenced data publicly available in compliance with GC Geospatial Standards.,1175000,2020-04-28,8555-421-2460,"May 1, 2019",111
aafc,,Departmental Client Relationship Management (CRM) Software (a.k.a. AgriClient),"To implement a departmental Client Relationship Management (CRM) solution to better track and holistically understand client interactions and efficiently manage contact data.   This project will establish modern CRM tools and migrate existing data into the new system, thereby enabling staff to maintain better relationships with Canadians.",2812101,2022-07-31,8530-441-13-505,"April 25, 2022",4
aafc,e-discovery,e-Discovery Solution,e-Oiscovery Solution - Implement a robust system to manage all aspects of litigation e-Discovery.,1235000,,8555-421-2460,"May 1, 2019",114
aafc,etir,Email Transformation Initiative,"Email Transformation Initiative Readiness - To prepare for the migration
 to the GC email olatform.",1369000,2016-12-31,8555-421-266,"June 9, 2016",7
aafc,,Enterprise ITSM (Information Technology Service Management) Solution Modernization,"Consistent with the Government of Canada Strategy for Information Technology Service Management (ITSM), AAFC will implement the GC standard software ITSM suite.  This project involves all activities related to designing, creating, delivering, supporting, and managing the lifecycle of IT services.  ITSM tools serve as the main methodology for an organization to deliver technology and IT-related services to it’s clients internally or externally.",2530000,2024-10-31,8530-441-13-505,"April 25, 2022",17
